CLIENT_VAT;TIMO_ID;AT_KM;CZ_KM;DE_KM;EE_KM;HU_KM;LT_KM;LV_KM;PL_KM;SE_KM;SK_KM;COMPANY_LP;ADRESS_LP;COD_LP;CITY_LP;LATITUDE_LP;LONGTITUDE_LP;START_LOAD_DATA;START_LOAD_TIME;END_LOAD_DATA;END_LOAD_TIME;COMPANY_DP;ADRESS_DP;COD_DP;CITY_DP;LATITUDE_DP;LONGTITUDE_DP;START_DELIVERY_DATA;START_DELIVERY_TIME;END_DELIVERY_DATA;END_DELIVERY_TIME;VEHICLE_TYPE;BODY_TYPE;LOAD_UNLOAD_METHOD;EPALE;GOODS_TYPE;TEMP_MIN;TEMP_MAX;EURO;LDM;M3;HEIGHT;WIDTH;TONS;REQUIREMENTS;OTHER_COSTS;QTY_LOADS;QTY_DELIVERIES;SOURCE;PAYMENT TERM;DOCUMENTS_BY;CARGO_VALUE_EURO;CUSTOMS;TIME_OF_ENTRY
;;;169.30;;;;;;;;74.00;;;CZ57001;;;;31.03.2021;16:00;31.03.2021;;;;SK82106;;;;01.04.2021;8:00;01.04.2021;8:00;Rigid truck, Articulated truck;REFRIGERATOR;Back;;Other;;;350;13.6;;;;5.999;;;1;1;;;;;;
;;;;;;;;;378.70;;;;;PL66470;;;;01.04.2021;6:00;01.04.2021;;;;PL49318;;;;02.04.2021;2:00;02.04.2021;2:00;Rigid truck, Articulated truck;BOX, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;;Other;;;324.4014793;13.6;;;;22;;;1;1;;;;;;
;;;206.10;;;;;;164.40;;;;;CZ69123;;;;02.04.2021;6:00;02.04.2021;;;;PL46043;;;;06.04.2021;6:00;06.04.2021;6:00;Rigid truck, Articulated truck;BOX, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;;Other;;;250;13.6;;;;2.3;;;1;1;;;;;;
;;;478.00;;;;;;244.50;;;;;PL98405;;;;06.04.2021;10:00;06.04.2021;;;;CZ39002;;;;07.08.2021;;08.08.2021;;Rigid truck, Articulated truck;BOX, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;;;;;980.456239;13.6;;;;22;;;1;6;;;;;;
;;;382.30;;;;;;136.00;;;;;PL41800;;;;07.04.2021;17:00;07.04.2021;;;;PL41700;;;;08.08.2021;;08.08.2021;;Rigid truck, Articulated truck;BOX, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;;;;;550;13.6;;;;22;;;3;3;;;;;;
;;;;242.60;;;;;251.60;;;;;DE06749;;;;08.04.2021;;08.04.2021;;;;PL57500;;;;09.04.2021;;13.04.2021;;Rigid truck, Articulated truck;TAUTLINER, MEGA, CURTAIN;Back;;;;;350;13.6;;;;24;;;1;1;;;;;;
;;;;28.60;;;;;473.60;;;;;DE15890;;;;08.04.2021;;08.04.2021;;;;PL00001;;;;09.04.2021;;09.04.2021;;Rigid truck, Articulated truck;CURTAIN;Back;;;;;400;13.6;;;;24;;;1;1;;;;;;
;;;;233.80;;;;;328.70;;;;;DE07545;;;;08.04.2021;;08.04.2021;;;;PL41700;;;;09.04.2021;;09.04.2021;22:00;Articulated truck;REFRIGERATOR, CURTAIN;Back;;;;;700;13.6;;;;10;;;1;1;;;;;;
;;;;640.30;;;;;397.80;;;;;DE44787;;;;08.04.2021;;08.04.2021;;;;PL43300;;;;08.04.2021;;08.04.2021;;Rigid truck, Articulated truck;CURTAIN;Back;;;;;1400;13.6;;;;24;;;1;1;;;;;;
;;;;353.40;;;;;380.50;;;;;DE99755;;;;08.04.2021;;08.04.2021;;;;PL43410;;;;09.04.2021;;09.04.2021;;Rigid truck, Articulated truck;CURTAIN;Back;;;;;550;13.6;;;;10;;;1;1;;;;;;
;;;146.10;141.40;;;;;;;;;;CZ25163;;;;08.04.2021;;08.04.2021;;;;DE04347;;;;09.04.2021;;09.04.2021;;Rigid truck, Articulated truck;BOX, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;;;;;380;13.6;;;;15;;;1;1;;;;;;
;;;;;;;;;682.10;107.70;;;;PL43150;;;;09.04.2021;20:00;09.04.2021;;;;SE26538;;;;12.04.2021;8:00;12.04.2021;8:00;Rigid truck, Articulated truck;REFRIGERATOR;Back;;;;;1570;13.6;;;;22.5;;-298;1;1;;;;;;
;;;381.00;81.50;;;;;;;131.30;;;DE01623;;;;09.04.2021;;09.04.2021;;;;SK92601;;;;12.04.2021;6:00;12.04.2021;12:00;Rigid truck, Articulated truck;REFRIGERATOR;Back;;;;;600;13.6;;;;21.75;;;1;1;;;;;;
;;;;686.60;;;;;36.40;;;;;PL59800;;;;09.04.2021;;09.04.2021;;;;DE53881;;;;12.04.2021;;13.04.2021;;Rigid truck, Articulated truck;THERMO, CURTAIN;Back;;;;;750;13.6;;;;18;;;1;1;;;;;;
;;;;620.80;;;;;174.10;;;;;PL67100;;;;09.04.2021;;10.04.2021;;;;DE86470;;;;12.04.2021;;12.04.2021;;Rigid truck, Articulated truck;THERMO, TAUTLINER, REFRIGERATOR, CURTAIN;Back;;;;;850;13.6;;;;15;;;1;1;;;;;;
;;;;586.40;;;;;339.10;;;;;DE64283;;;;09.04.2021;;09.04.2021;;;;PL40001;;;;12.04.2021;;12.04.2021;;Rigid truck, Articulated truck;THERMO, REFRIGERATOR, CURTAIN;Back;;;;;700;13.6;;;;20;;;1;1;;;;;;
;;;;391.70;;;;;365.00;;;;;DE38685;;;;09.04.2021;;09.04.2021;;;;PL41100;;;;12.04.2021;;12.04.2021;;Rigid truck, Articulated truck;CURTAIN;Back;;;;;500;13.6;;;;24;;;1;1;;;;;;
;;;;615.90;;;;;178.30;;;;;PL62023;;;;09.04.2021;;09.04.2021;;;;DE94315;;;;13.04.2021;;13.04.2021;;Rigid truck, Articulated truck;THERMO, CURTAIN;Back;;;;;820;13.6;;;;22;;;1;1;;;;;;
;;;;469.40;;;;;174.10;;;;;PL67100;;;;09.04.2021;;10.04.2021;;;;DE97199;;;;12.04.2021;;12.04.2021;;Rigid truck, Articulated truck;THERMO, TAUTLINER, REFRIGERATOR, CURTAIN;Back;;;;;700;13.6;;;;15;;;1;1;;;;;;
;;;;571.60;;;;;279.80;;;;;DE26954;;;;09.04.2021;14:30;09.04.2021;14:30;;;PL47316;;;;12.04.2021;8:00;13.04.2021;16:00;Rigid truck, Articulated truck;CURTAIN;Back;;;;;800;13.6;;;;24.7;;;1;1;;;;;;
;;;70.20;;;;;;167.90;;188.30;;;SK90301;;;;12.04.2021;8:00;12.04.2021;;;;PL42224;;;;13.04.2021;8:00;13.04.2021;15:00;Rigid truck, Articulated truck;BOX, COIL TROUGH, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;;;;;240;13.6;;;;15;;;1;1;;;;;;
;;;;;;;;;594.30;;;;;PL72300;;;;12.04.2021;8:00;13.04.2021;;;;PL87400;;;;14.04.2021;;14.04.2021;;Rigid truck, Articulated truck;REFRIGERATOR;Back;;;;;450;13.6;;;;22.5;;;1;3;;;;;;
;;;;495.30;;;;;178.30;;;;;PL62023;;;;12.04.2021;;12.04.2021;;;;DE91330;;;;13.04.2021;;13.04.2021;;Rigid truck, Articulated truck;THERMO, CURTAIN;Back;;;;;820;13.6;;;;22;;;1;1;;;;;;
;;;;299.60;;;;;;;;;;DE33106;;;;12.04.2021;;12.04.2021;;;;DE97318;;;;12.04.2021;;12.04.2021;;Articulated truck;FLATBED TRUCK;Back;;;;;600;13.6;;;;10.57;;;1;1;;;;;;
;;;38.70;;;;;;282.90;;;;;PL42512;;;;13.04.2021;12:00;13.04.2021;;;;CZ50312;;;;14.04.2021;7:00;14.04.2021;7:00;Rigid truck, Articulated truck;REFRIGERATOR;Back;;;;;425;13.6;;;;10;;;1;1;;;;;;
;;;;518.80;;;;;351.10;;;;;DE74423;;;;14.04.2021;;14.04.2021;;;;PL41200;;;;15.04.2021;;15.04.2021;;Rigid truck, Articulated truck;CURTAIN;Back;;;;;550;13.6;;;;22;;;1;1;;;;;;
;;;168.90;;;;;;;;75.00;;;CZ56802;;;;14.04.2021;;14.04.2021;;;;SK83103;;;;15.04.2021;6:30;15.04.2021;7:00;Rigid truck, Articulated truck;BOX, COIL TROUGH, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;;;;;330;13.6;;;;15;;;1;1;;;;;;
;;;203.30;;;;;;32.50;;;;;CZ69701;;;;15.04.2021;;15.04.2021;;;;PL44240;;;;16.04.2021;;16.04.2021;;Rigid truck, Articulated truck;BOX, COIL TROUGH, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;;;;;164.6469968;13.6;;;;22;;;1;1;;;;;;
;;;70.70;;;;;;338.20;;140.80;;;PL99300;;;;15.04.2021;10:00;15.04.2021;;;;SK03101;;;;16.04.2021;8:00;16.04.2021;15:30;Rigid truck, Articulated truck;REFRIGERATOR;Back;;;;;650;13.6;;;;22;;;1;1;;;;;;
;;;;;;;;;25.00;;;;;PL44240;;;;16.04.2021;;16.04.2021;;;;PL43215;;;;16.04.2021;;16.04.2021;;Rigid truck, Articulated truck;BOX, COIL TROUGH, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;;;;;54.88233228;13.6;;;;22;;;1;1;;;;;;
;;;47.10;;;;;;582.90;107.70;;;;CZ74773;;;;16.04.2021;14:00;16.04.2021;;;;SE26538;;;;19.04.2021;7:00;19.04.2021;13:00;Rigid truck, Articulated truck;REFRIGERATOR;Back;;;;;1450;13.6;;;;22.5;;;1;1;;;;;;
;;;245.90;;;;;;320.10;;;;;PL43608;;;;20.04.2021;;20.04.2021;;;;CZ26901;;;;20.04.2021;13:00;20.04.2021;13:00;Rigid truck, Articulated truck;BOX, COIL TROUGH, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;;;;;600;13.6;;;;18;;;1;1;;;;;;
;;;92.60;373.00;;;;;18.80;;;;;PL70651;;;;20.04.2021;8:00;20.04.2021;;;;CZ27801;;;;21.04.2021;7:00;21.04.2021;11:00;Rigid truck, Articulated truck;REFRIGERATOR;Back;33;Frozen Food;-22;-22;500;13.6;;;;22.5;;;1;1;;;;;;
;;;147.60;;;;;;530.70;;;;;CZ19821;;;;21.04.2021;6:00;21.04.2021;;;;PL07202;;;;22.04.2021;;22.04.2021;;Rigid truck, Articulated truck;BOX, COIL TROUGH, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;0;Drinks;;;400;13.6;;;;22.5;;;1;1;;;;;;
;;;;;;;;;432.40;;377.30;;;PL17300;;;;22.04.2021;;22.04.2021;;;;SK99128;;;;26.04.2021;;26.04.2021;;Rigid truck, Articulated truck;REFRIGERATOR;Back;32;Frozen Food;-22;-22;950;13.6;;;;20;;;1;1;;;;;;
;;;217.30;;;;;;647.60;;;;;CZ26901;;;;22.04.2021;4:00;22.04.2021;;;;PL21100;;;;23.04.2021;11:00;23.04.2021;11:00;Rigid truck, Articulated truck;BOX, COIL TROUGH, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;0;;;;550;13.6;;;;9;;;1;1;;;;;;
;;;;;;;;;821.80;833.60;;;;PL43392;;;;07.09.2020;12:00;07.09.2020;;;;SE921 92;;;;10.09.2020;10:00;10.09.2020;10:00;Rigid truck, Articulated truck;BOX, COIL TROUGH, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;0;;;;2400;13.6;;;;8.5;;-643;1;1;;;;;;
;;;;;;;;;;975.10;;;;SE91831;;;;10.09.2020;;10.09.2020;;;;SE57002;;;;11.09.2020;;11.09.2020;;Rigid truck, Articulated truck;BOX, COIL TROUGH, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;0;;;;550;13.6;;;;25;;;1;1;;;;;;
;;;;;;;;;354.90;166.90;;;;SE57402;;;;14.09.2020;13:00;14.09.2020;13:00;;;PL92410;;;;16.09.2020;7:45;16.09.2020;7:45;Rigid truck, Articulated truck;BOX, COIL TROUGH, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;0;;;;400;13.6;;;;22;;-468;1;1;;;;;;
;;;;;;;;;204.80;;;;;PL93231;;;;16.09.2020;;16.09.2020;;;;PL44102;;;;17.09.2020;;17.09.2020;;Rigid truck, Articulated truck;CURTAIN;Back;0;Other;;;142;13.6;;;;23.8;;;1;1;;;;;;
;;;;;;;;;727.10;415.40;;;;PL43378;;;;18.09.2020;;18.09.2020;;;;SE53237;;;;22.09.2020;;22.09.2020;;Rigid truck, Articulated truck;BOX, COIL TROUGH, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;0;Other;;;1700;13.6;;;;22;;-298;1;1;;;;;;
;;;;;;;;;;492.40;;;;SE55652;;;;23.09.2020;20:00;23.09.2020;22:00;;;SE80291;;;;24.09.2020;5:00;24.09.2020;;Rigid truck, Articulated truck;BOX, COIL TROUGH, THERMO, TAUTLINER, MEGA, REFRIGERATOR, CURTAIN;Back;0;Other;;;560;13.6;;;;22;;;1;1;;;;;;
;;;;;;;;;;895.00;;;;SE82041;;;;24.09.2020;;24.09.2020;;;;SE26494;;;;25.09.2020;;25.09.2020;;Rigid truck, Articulated truck;BOX, COIL TROUGH, TAUTLINER, MEGA, CURTAIN;Back;0;Other;;;575;13.6;;;;24;;;1;1;;;;;;
;;;;;;;;;183.70;182.80;;;;SE24193;;;;29.09.2020;7:00;29.09.2020;9:00;;;PL87162;;;;29.09.2020;8:00;29.09.2020;15:00;Rigid truck, Articulated truck;BOX, COIL TROUGH, TAUTLINER, MEGA, CURTAIN;Back;0;Other;;;297;13.6;;;;24.8;;-298;1;1;;;;;;
;;;18.40;;;;;;442.90;;;;;PL09300;;;;29.09.2020;8:00;29.09.2020;14:00;;;CZ73301;;;;30.09.2020;6:00;30.09.2020;22:00;Rigid truck, Articulated truck;BOX, COIL TROUGH, TAUTLINER, MEGA, CURTAIN;Back;0;Other;;;328;13.6;;;;22;;;1;1;;;;;;
;;;;469.40;;;;;364.40;;;;;PL43150;;;;26.10.2020;15:30;26.10.2020;15:30;;;DE97199;;;;27.10.2020;20:00;27.10.2020;20:00;Rigid truck, Articulated truck;REFRIGERATOR;Back;0;Yoghurt;1;5;950;13.6;;;;23.5;;;1;1;;;;;;
;;;381.00;52.70;;;;;;;50.20;;;DE01665;;;;23.10.2020;3:00;23.10.2020;5:00;;;SK90055;;;;23.10.2020;;23.10.2020;12:30;Rigid truck, Articulated truck;BOX, COIL TROUGH, TAUTLINER, MEGA, CURTAIN;Back;0;Other;;;600;13.6;;;;7;;;1;1;;;;;;
;;;;469.40;;;;;364.40;;;;;PL43150;;;;02.11.2020;12:30;02.11.2020;12:30;;;DE97199;;;;03.11.2020;9:00;03.11.2020;9:00;Rigid truck, Articulated truck;REFRIGERATOR;Back;0;Yoghurt;1;5;950;13.6;;;;23.5;;;1;1;;;;;;
;;;;146.80;;;;;446.40;;;;;DE12057;;;;13.11.2020;11:00;13.11.2020;13:00;;;PL31982;;;;16.11.2020;10:00;16.11.2020;10:00;Rigid truck, Articulated truck;BOX, COIL TROUGH, TAUTLINER, MEGA, CURTAIN;Back;0;Other;;;340;13.6;;;;20;;;1;1;;;;;;
;;;;281.50;;;;;623.00;;;;;DE06667;;;;04.12.2020;7:00;04.12.2020;15:00;;;PL21560;;;;07.12.2020;;07.12.2020;;Rigid truck, Articulated truck;BOX, COIL TROUGH, TAUTLINER, MEGA, CURTAIN;Back;0;Other;;;550;13.6;;;;22;;;1;1;;;;;;
;;;;469.40;;;;;364.40;;;;;PL43150;;;;07.12.2020;12:00;07.12.2020;12:00;;;DE97199;;;;08.12.2020;19:00;08.12.2020;19:00;Rigid truck, Articulated truck;REFRIGERATOR;Back;0;Yoghurt;1;5;950;13.6;;;;23.5;;;1;1;;;;;;
;;;;572.10;;;;;;;;;;DE28237;;;;12.06.2018;12:00;12.06.2018;14:00;;;DE67480;;;;13.06.2018;6:00;13.06.2018;19:00;Rigid truck, Articulated truck;COIL TROUGH;Top;0;Steel;;;570;13.6;;;;20.765;;;1;1;;;;;;
;;;;591.30;;;;;366.70;;;;;PL41308;;;;04.01.2019;7:00;04.01.2018;7:00;;;DE89231;;;;08.01.2018;7:00;08.01.2018;13:00;Rigid truck, Articulated truck;COIL TROUGH, TAUTLINER, MEGA, CURTAIN;Top;0;Steel;;;950;13.6;;;;19.924;;;1;1;;;;;;
;;;83.30;154.10;;;;;415.60;;;;;PL30001;;;;27.08.2018;10:00;27.08.2018;10:00;;;CZ27324;;;;28.08.2018;7:00;28.08.2018;15:00;Rigid truck, Articulated truck;COIL TROUGH;Top;0;Steel;;;570;13.6;;;;24;;;1;1;;;;;;
;;;;539.50;;;;;375.50;;;;;PL41303;;;;07.01.2019;7:00;07.01.2019;21:00;;;DE73457;;;;08.01.2019;7:00;08.01.2019;15:00;Rigid truck, Articulated truck;COIL TROUGH, TAUTLINER, MEGA, CURTAIN;Top;0;Steel;;;800;13.6;;;;24;;;1;1;;;;;;
;;;;634.60;;;;;;;;;;DE66424;;;;27.08.2018;7:00;27.08.2018;15:00;;;DE21107;;;;28.08.2018;7:00;28.08.2018;14:00;Rigid truck, Articulated truck;COIL TROUGH, TAUTLINER, MEGA, CURTAIN;Top;0;Steel;;;750;13.6;;;;22.075;;;1;1;;;;;;
;;;;616.50;;;;;;;;;;DE71254;;;;11.05.2018;13:00;11.05.2018;13:00;;;DE26135;;;;14.05.2018;;14.05.2018;5:00;Rigid truck, Articulated truck;;Back;0;Other;;;450;13.6;;;;22;;;1;1;;;;;;
;;;;573.00;;;;;;;;;;DE84489;;;;19.07.2018;13:00;19.07.2018;14:00;;;DE34587;;;;20.07.2018;7:00;20.07.2020;14:00;Rigid truck, Articulated truck;BOX, COIL TROUGH, TAUTLINER, MEGA, CURTAIN;Back;0;Other;;;580;13.6;;;;15.602;;;1;1;;;;;;
;;;197.90;332.90;;;;;;;;;;DE64823;;;;22.06.2018;13:00;22.06.2018;16:00;;;CZ25101;;;;25.06.2018;8:00;25.06.2018;12:00;Rigid truck, Articulated truck;BOX, COIL TROUGH, TAUTLINER, MEGA, CURTAIN;Back;0;Other;;;450;13.6;;;;23;;;1;1;;;;;;
;;;;253.30;;;;;428.20;;;;;DE39288;;;;19.07.2018;;19.07.2018;;;;PL42300;;;;23.07.2018;;23.07.2018;;Rigid truck, Articulated truck;COIL TROUGH, TAUTLINER, MEGA, CURTAIN;Top, Side;0;Other;;;408.2;13.6;;;;24.012;;;1;1;;;;;;
;;;;319.90;;;;;440.20;;;;;DE19357;;;;07.05.2018;;07.05.2018;;;;PL30319;;;;07.05.2018;8:00;07.05.2018;8:00;Rigid truck, Articulated truck;COIL TROUGH, TAUTLINER, MEGA, CURTAIN;Top, Side;0;Other;;;580;13.6;;;;24;;;1;1;;;;;;
;;;70.20;;;;;;167.90;;205.80;;;SK90301;;;;12.04.2021;8:00;12.04.2021;15:00;;;PL42224;;;;13.04.2021;8:00;13.04.2021;15:00;Rigid truck, Articulated truck;BOX, COIL TROUGH, TAUTLINER, MEGA, CURTAIN;Back;0;Other;;;240;13.6;;;;15;;;1;1;;;;;;
;;;275.30;119.90;;;;;;;;;;CZ25090;;;;28.04.2021;;28.04.2021;;;;DE99867;;;;29.04.2021;;29.04.2021;;Rigid truck, Articulated truck;TAUTLINER;Back, Side;0;Other;;;600;13.6;;;;24;;;1;1;;;;;;
;;;;518.80;;;;;405.50;;;;;DE35510;;;;26.04.2021;;26.04.2021;;;;PL97300;;;;27.04.2021;;28.04.2021;;Rigid truck, Articulated truck;TAUTLINER;Back, Side;0;Other;;;650;13.6;;;;15;;;1;1;;;;;;
;;;145.60;;;;;;231.80;;;;;CZ68603;;;;27.04.2021;;27.04.2021;;;;PL50075;;;;28.04.2021;;28.04.2021;;Rigid truck, Articulated truck;TAUTLINER;Back, Side;0;Other;;;250;13.6;;;;24;;;1;1;;;;;;
;;;;238.30;;;;;213.40;;;;;PL63025;;;;26.04.2021;;26.04.2021;;;;DE01662;;;;27.04.2021;;27.04.2021;;Rigid truck, Articulated truck;TAUTLINER, REFRIGERATOR, CURTAIN;Back;0;Other;;;450;13.6;;;;14;;;1;1;;;;;;
;;;340.60;;;;;;150.40;;;;;PL41300;;;;27.04.2021;;29.04.2021;;;;CZ19017;;;;28.04.2021;;30.04.2021;;Rigid truck, Articulated truck;TAUTLINER, REFRIGERATOR, CURTAIN;Back, Side;0;Other;;;580;13.6;;;;24;;;1;1;;;;;;
;;;;;;;;;682.10;107.70;;;;PL43150;;;;30.04.2021;10:30;30.04.2021;10:30;;;SE26538;;;;04.05.2021;8:00;04.05.2021;8:00;Rigid truck, Articulated truck;REFRIGERATOR;Back;0;Yoghurt;2;6;1570;13.6;;;;22.5;;-300;1;1;;;;;;
